YEAR,natural_gas,oil,solid_fossil
1990,"297,00","630,60","446,00"
1991,"306,70","635,60","425,40"
1992,"298,00","630,30","396,40"
1993,"309,50","630,80","372,80"
1994,"309,20","639,20","363,20"
1995,"335,70","655,00","358,10"
1996,"369,50","668,40","354,80"
1997,"361,90","666,70","342,10"
1998,"373,40","682,30","326,60"
1999,"384,80","675,10","307,60"
2000,"396,00","663,90","315,50"
2001,"406,30","678,40","317,00"
2002,"407,80","674,60","315,60"
2003,"424,50","680,80","326,10"
2004,"435,20","684,10","321,10"
2005,"445,10","684,20","312,00"
2006,"440,20","681,50","322,90"
2007,"435,00","660,60","322,00"
2008,"444,10","655,80","297,50"
2009,"415,70","617,40","260,80"
2010,"447,60","613,50","276,90"
2011,"403,80","595,70","281,40"
2012,"393,80","572,60","288,10"
2013,"387,10","557,70","281,80"
2014,"343,50","554,90","262,20"
2015,"357,90","564,20","258,40"
2016,"382,70","570,10","236,80"
2017,"398,40","582,00","228,40"
