,,,,,
,,,,,
,Belgium,France,Germany,Italy,Spain
1990,116.0026263034,386.3270378493,1018.05851725247,430.5808186264,233.7980711923
1991,120.0044738655,409.8472887235,996.28258498133,429.4189531979,241.4428391805
1992,117.97172451894,398.8135307639,943.09552097117,426.8868271377,249.9582340842
1993,116.0401369816,378.6375880347,934.77831228921,420.49408299124,235.4711552461
1994,121.2894366757,373.217801593,923.81504710853,414.3947507306,246.0179011149
1995,122.4298895239,381.8506051658,918.6866657034,439.22074866924,258.6963415059
1996,127.3863390776,396.6786385202,945.79471392935,434.17781003088,248.6431162395
1997,124.1711676389,388.5296202873,913.6239939963,437.63935382491,267.9226159799
1998,127.378225255,410.3336258614,906.482174406519,448.508554630617,276.9704996658
1999,123.1395350816,404.1691698068,873.36646922392,455.4061749549,299.4358311633
2000,124.8819950123,402.2409709732,871.07171950737,459.854946348,315.4761454797
2001,125.0361051103,406.704267439,887.033052068634,459.2138628313,315.4291637802
2002,118.4766145505,400.6620810551,871.37593414207,467.1764798025,333.65901819698
2003,123.4725399507,405.0418528079,873.5476204848,485.5043757872,340.8916759972
2004,122.3185358824,405.5776381628,857.7211130806,496.52536838576,357.5026504207
2005,118.7033939955,408.4282116093,837.326524615459,497.69433524223,372.652808892
2006,117.488839686,398.3188881067,853.26415071022,491.88018905316,363.3718497402
2007,113.8732907924,391.6964529223,821.7172060793,484.7388892383,376.488404151
2008,115.5017547145,384.5908694078,830.99991003175,469.1932288012,344.9513407178
2009,107.8524552232,369.524144074,769.56987570274,417.02077945042,305.148206726
2010,115.8902483252,379.4450951753,816.39943227537,426.7753059464,291.62077745178
2011,105.140519398,348.9197922076,789.584495323601,417.2288369466,293.69322382981
2012,103.7877699579,350.0859877089,801.377806420209,396.084618928,288.55840565032
2013,105.2987763852,350.9282343977,819.71628122293,363.2977883761,261.3766805458
2014,99.1149133343,315.7680708169,780.118796417358,344.11076830887,260.31071071457
2015,103.9722826205,323.3626341911,786.435511422699,354.37838874912,274.81475721084
2016,103.164695496762,324.231199323097,790.213431165788,352.0665010322,263.52685974961
2017,103.821656006749,330.862885690504,787.947382309832,355.717154987163,282.179485190104
2018,105.751860668205,323.27945198745,752.654899059898,344.813573100748,276.047389662605
