Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Belgium,BEL,325650555483.959,331619972056.74,336695929196.36,333457341656.811,344217914924.963,352426676458.87,357083919174.657,370630414925.168,377901593439.986,391289642724.156,405832615318.929,410295216338.301,417298500905.365,421629863437.465,436687079147.938,446825806298.355,458230381597.117,475079138083.189,477202345354.765,467559394365.929,480951629493.033,489101342571.806,492716925962.252,494979620293.941,502792988581.692,513013709008.398,520765890121.502,530994736008.02,538738791661.312
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Spain,ESP,875010730777.979,897288509032.826,905626252315.668,896284791995.816,917645009098.858,942949015520.804,968036404655.449,1003878729729.41,1047979497287.63,1095038925601.92,1152484609387.48,1197811239501.96,1230523730745.39,1267216654327.77,1306789235708.8,1354513605581.53,1410085602559.84,1460914788659.92,1473875223827.73,1418409880841.96,1420722034063,1409152050946.11,1367449023146.16,1347820738370.52,1366473336621.79,1418879948438.72,1461890475184.29,1504164957709.71,1539527998175.21
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Italy,ITA,1750995868636.18,1777934021815.72,1792766889065.76,1777478069952.93,1815712043517.58,1868128685847.32,1891793856119.88,1926417698714.46,1961297709650.38,1993183067821.68,2068664016522.73,2109031337731.45,2114387075159.67,2117318184220.94,2147460202201.58,2165023183424.84,2203790947646.15,2236562927372.39,2215046904823.43,2098071668645.46,2134017843247.16,2149112463084.11,2085049445706.12,2046662320727.41,2046569247891.33,2062497785388.09,2088890974062.22,2124739839580.94,2141192550332.57
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Germany,DEU,2575804775733.08,2707383619604.31,2759583963832.62,2732558256819.73,2798086345131.13,2841031303717.99,2864354858917.91,2915444558824.13,2974308768984.97,3030581471654.92,3118322470844.15,3171263240547.84,3164969581243.98,3142386463737.49,3179778188495.87,3202731537067.12,3324902546895.18,3424120208151.99,3457069367840.07,3260114884059.16,3396354075663.73,3529631540930.7,3544440148182.59,3559618974281.19,3638845013304.35,3702151812971.57,3784709797179.03,3878004030196.74,3937238459204.29
GDP (constant 2010 US$),NY.GDP.MKTP.KD,France,FRA,1894061230987.33,1913914322953.93,1944524371770.68,1932299800963.61,1977870042741.46,2019537736657.34,2048073677341.3,2095922750942.73,2171138280554.68,2245421037201.37,2333523930934.59,2379814544584.44,2406838088087.14,2426650235214.38,2495318441311.06,2536821076703.02,2598956034037.37,2661973862802.15,2668760457244.1,2592078593347.73,2642609548930.36,2700554065740.26,2709010438737.9,2724623188645.21,2750675573688.3,2781288181597.05,2811756203338.3,2875307593548.74,2924903217200.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/09/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
