"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"1980","European Union - 28 countries (2013-2020)","Population on 1 January - total","461,751,770",""
"1981","European Union - 28 countries (2013-2020)","Population on 1 January - total","463,712,611",""
"1982","European Union - 28 countries (2013-2020)","Population on 1 January - total","465,218,739",""
"1983","European Union - 28 countries (2013-2020)","Population on 1 January - total","466,410,886",""
"1984","European Union - 28 countries (2013-2020)","Population on 1 January - total","467,368,929",""
"1985","European Union - 28 countries (2013-2020)","Population on 1 January - total","468,389,143",""
"1986","European Union - 28 countries (2013-2020)","Population on 1 January - total","469,495,134",""
"1987","European Union - 28 countries (2013-2020)","Population on 1 January - total","470,831,973",""
"1988","European Union - 28 countries (2013-2020)","Population on 1 January - total","472,079,145",""
"1989","European Union - 28 countries (2013-2020)","Population on 1 January - total","473,711,655",""
"1990","European Union - 28 countries (2013-2020)","Population on 1 January - total","475,187,711",""
"1991","European Union - 28 countries (2013-2020)","Population on 1 January - total","476,842,235","b"
"1992","European Union - 28 countries (2013-2020)","Population on 1 January - total","477,925,130",""
"1993","European Union - 28 countries (2013-2020)","Population on 1 January - total","479,561,788",""
"1994","European Union - 28 countries (2013-2020)","Population on 1 January - total","480,893,003",""
"1995","European Union - 28 countries (2013-2020)","Population on 1 January - total","481,904,006",""
"1996","European Union - 28 countries (2013-2020)","Population on 1 January - total","482,736,385",""
"1997","European Union - 28 countries (2013-2020)","Population on 1 January - total","483,512,803",""
"1998","European Union - 28 countries (2013-2020)","Population on 1 January - total","485,877,558","b"
"1999","European Union - 28 countries (2013-2020)","Population on 1 January - total","486,577,954",""
"2000","European Union - 28 countries (2013-2020)","Population on 1 January - total","487,259,080","b"
"2001","European Union - 28 countries (2013-2020)","Population on 1 January - total","488,240,527","b"
"2002","European Union - 28 countries (2013-2020)","Population on 1 January - total","488,962,706",""
"2003","European Union - 28 countries (2013-2020)","Population on 1 January - total","490,691,578",""
"2004","European Union - 28 countries (2013-2020)","Population on 1 January - total","492,555,798",""
"2005","European Union - 28 countries (2013-2020)","Population on 1 January - total","494,598,322",""
"2006","European Union - 28 countries (2013-2020)","Population on 1 January - total","496,436,597",""
"2007","European Union - 28 countries (2013-2020)","Population on 1 January - total","498,300,775",""
"2008","European Union - 28 countries (2013-2020)","Population on 1 January - total","500,297,033","b"
"2009","European Union - 28 countries (2013-2020)","Population on 1 January - total","502,090,235",""
"2010","European Union - 28 countries (2013-2020)","Population on 1 January - total","503,170,618","b"
"2011","European Union - 28 countries (2013-2020)","Population on 1 January - total","502,964,837","b"
"2012","European Union - 28 countries (2013-2020)","Population on 1 January - total","504,047,749","b"
"2013","European Union - 28 countries (2013-2020)","Population on 1 January - total","505,163,053",""
"2014","European Union - 28 countries (2013-2020)","Population on 1 January - total","507,235,091","b"
"2015","European Union - 28 countries (2013-2020)","Population on 1 January - total","508,520,205","b"
"2016","European Union - 28 countries (2013-2020)","Population on 1 January - total","510,181,874",""
"2017","European Union - 28 countries (2013-2020)","Population on 1 January - total","511,378,572","b"
"2018","European Union - 28 countries (2013-2020)","Population on 1 January - total","512,372,000","p"
"2019","European Union - 28 countries (2013-2020)","Population on 1 January - total","513,471,676","ep"
