,0,1,2,3,4,5,6,7,8,9,10,11
0,7.879360855652431e-05,7.702647256744956e-05,7.538791105554382e-05,7.387125634638627e-05,7.247041260029082e-05,7.11798148321566e-05,6.999439191527663e-05,6.890953322343878e-05,6.792105860281291e-05,6.702519139859564e-05,6.621853429160798e-05,6.549804772739611e-05
1,7.974120231668968e-05,7.880960466281794e-05,7.790123720274025e-05,7.701554392823063e-05,7.615198598340166e-05,7.531004112664242e-05,7.448920321185667e-05,7.368898168828814e-05,7.290890111824876e-05,7.214850071209258e-05,7.140733387980533e-05,7.068496779860401e-05
2,7.977231929432116e-05,7.888730122431633e-05,7.804046355382273e-05,7.723077378398273e-05,7.645725093728613e-05,7.571896357524368e-05,7.501502792710518e-05,7.434460612435331e-05,7.370690453602945e-05,7.310117220025444e-05,7.252669934759722e-05,7.198281601221943e-05
3,8.009615043932544e-05,7.952190790472586e-05,7.897336947778538e-05,7.845005306112493e-05,7.795150055412465e-05,7.74772771834547e-05,7.702697087006807e-05,7.660019163136299e-05,7.619657101729847e-05,7.581576157931969e-05,7.54574363710197e-05,7.5121288479531e-05
4,8.016524208744622e-05,7.96440605380249e-05,7.913290532497951e-05,7.863162605891943e-05,7.814007579752778e-05,7.765811097416304e-05,7.718559132833154e-05,7.672237983798401e-05,7.626834265359045e-05,7.582334903394924e-05,7.538727128368759e-05,7.495998469241135e-05
5,7.893918822667165e-05,7.722111900877778e-05,7.554149261920887e-05,7.389942669482156e-05,7.22940596087561e-05,7.072454997226027e-05,6.919007614873176e-05,6.768983577967333e-05,6.622304532226312e-05,6.47889395982497e-05,6.338677135388927e-05,6.201581083064912e-05
6,7.936332874904516e-05,7.806626682974327e-05,7.680435615547996e-05,7.557657115048492e-05,7.438192129834346e-05,7.321944986086257e-05,7.208823264806125e-05,7.098737683713043e-05,6.99160198383044e-05,6.88733282056776e-05,6.785849659108826e-05,6.687074673927406e-05
7,7.94846751869904e-05,7.833353924793127e-05,7.724104939490643e-05,7.620518547234298e-05,7.522404761001132e-05,7.429585040883693e-05,7.34189175176108e-05,7.259167657750154e-05,7.18126545129853e-05,7.108047314940799e-05,7.039384513888448e-05,6.975157017763153e-05
8,7.94575995250365e-05,7.830217096204847e-05,7.722715761528951e-05,7.622964342389585e-05,7.530694361444846e-05,7.445659261315173e-05,7.367633302418835e-05,7.296410560502214e-05,7.231804017609639e-05,7.173644740854824e-05,7.121781143928082e-05,7.076078326805299e-05
9,8.001010337600169e-05,7.927329089994592e-05,7.84876286773622e-05,7.765466934156584e-05,7.677605080890783e-05,7.585349089535822e-05,7.488878170229231e-05,7.388378379724585e-05,7.284042021617533e-05,7.176067031437344e-05,7.064656349364519e-05,6.950017283364567e-05
10,8.021870200292463e-05,7.969016101750744e-05,7.911198541419243e-05,7.848527298266907e-05,7.781121133543954e-05,7.709107414961215e-05,7.632621714662711e-05,7.551807382771962e-05,7.466815098394733e-05,7.377802400052489e-05,7.284933197601113e-05,7.188377267758224e-05
11,8.0254330873885e-05,7.981069737646537e-05,7.936575268687692e-05,7.891954601654385e-05,7.847212648338601e-05,7.802354310307099e-05,7.757384478033871e-05,7.712308030040054e-05,7.667129832041495e-05,7.621854736104162e-05,7.576487579807613e-05,7.531033185416689e-05
12,8.031931744057403e-05,7.9957062112463e-05,7.96096479478644e-05,7.927689323843963e-05,7.895862435974415e-05,7.865467562005047e-05,7.83648891164044e-05,7.808911459773948e-05,7.782720933488342e-05,7.757903799729865e-05,7.734447253640788e-05,7.712339207536378e-05
13,7.810498398803231e-05,7.574429938264573e-05,7.359820488874788e-05,7.165209769359716e-05,6.989295093155639e-05,6.83091675117634e-05,6.689045188298029e-05,6.562769773845038e-05,6.451288993496419e-05,6.35390191373962e-05,6.270000790779542e-05,6.199064714105971e-05
14,7.958232563214527e-05,7.852414081138792e-05,7.752019232349903e-05,7.656873194185655e-05,7.566811523021263e-05,7.481679679803442e-05,7.401332587224788e-05,7.325634216758709e-05,7.2544572039057e-05,7.187682490123887e-05,7.125198990031025e-05,7.06690328257225e-05
15,8.026006608753656e-05,7.984948916519635e-05,7.946449122858634e-05,7.910471501960172e-05,7.87698273560288e-05,7.845951861651225e-05,7.817350226279568e-05,7.79115143982022e-05,7.767331336140104e-05,7.74586793545841e-05,7.726741410525057e-05,7.709934056087043e-05
16,8.022103895351983e-05,7.975744411136856e-05,7.930564285690917e-05,7.886546377386309e-05,7.843674042102189e-05,7.801931122741453e-05,7.761301939086319e-05,7.721771277983864e-05,7.683324383852907e-05,7.64594694950394e-05,7.60962510726414e-05,7.574345420399712e-05
