years,gdp_cap,ci_coal,ci_oil,ci_gas,ci_fossil,ci_total,ei_fossil,ei_total
1990,24884.930431777724,3.9641255605381165,2.5277513479226132,2.1683501683501682,2.9164239953407107,2.554796696612923,1.1616054755015357e-10,1.3260288328864667e-10
1991,25189.415445265455,3.9680300893276916,2.551919446192574,2.187805673296381,2.9107260364114937,2.534308332740674,1.138670430430325e-10,1.3077957507882192e-10
1992,25388.424353018225,3.9833501513622607,2.5674389082830844,2.1778523489932886,2.903518043182848,2.5147176597216743,1.091664367824953e-10,1.2604465462855828e-10
1993,25245.63134124252,3.999463519313305,2.5555555555555554,2.1744749596122777,2.8758667987502857,2.4558962805579676,1.083932709606767e-10,1.2692906114623508e-10
1994,25875.206549877166,4.028083700440528,2.504301579852964,2.2089262613195344,2.8565983075398336,2.453128495458505,1.0541495681130897e-10,1.2275271669382615e-10
1995,26519.50073862802,4.024015638089919,2.4595419847328244,2.180518319928508,2.8054567022538555,2.414225749176359,1.0554111476323116e-10,1.2264430030077557e-10
1996,26994.324306687595,4.058624577226606,2.479054458408139,2.1840324763193504,2.803188051985352,2.3997717885874965,1.0687474230688738e-10,1.2484103785136107e-10
1997,27724.60597606554,3.9988307512423265,2.464376781160942,2.210555402044764,2.7803312176260304,2.3713479270208127,1.0225135028642354e-10,1.19886507587658e-10
1998,28447.879357947833,4.023270055113288,2.4461380624358786,2.2013926084627746,2.7526586124574983,2.35057320716841,1.000058879780138e-10,1.1711273999024043e-10
1999,29267.26928601167,4.034460338101431,2.442601096133906,2.2245322245322243,2.7393053016453384,2.327864441918624,9.602685459966416e-11,1.1299922244973296e-10
2000,30348.613826592624,4.038034865293185,2.422051513782196,2.212121212121212,2.732296059328195,2.3205949810893,9.301012320753214e-11,1.0951122241860553e-10
2001,30984.504952797783,4.041009463722397,2.421875,2.2224956928378043,2.7302561175715203,2.305511648922619,9.265666955819371e-11,1.097268101045071e-10
2002,31339.263865447236,4.033586818757921,2.4073525051882596,2.226581657675331,2.7217453505007154,2.2961410873057555,9.12310439241356e-11,1.0814129453743701e-10
2003,31624.37591639264,4.06623735050598,2.4059929494712105,2.2355712603062425,2.7336872991476873,2.302863060482926,9.22423683504689e-11,1.0949925557019417e-10
2004,32313.967704387065,4.067268763625038,2.3900014617745944,2.233455882352941,2.716606498194946,2.2811261073949085,9.049766847868313e-11,1.0777420567135772e-10
2005,32861.06952186223,4.075616789490548,2.3764980999707688,2.22646596270501,2.698071319550437,2.25920506247829,8.868500296733864e-11,1.0591268006364126e-10
2006,33848.795096237634,4.022917311861257,2.363903154805576,2.2330758746024535,2.694863630070608,2.2482071476328733,8.596874894276396e-11,1.0304835792931898e-10
2007,34750.33690623761,4.068322981366459,2.3554344535270966,2.2275862068965515,2.705276523702032,2.250086504678349,8.186591542446313e-11,9.842729985211631e-11
2008,34790.13868583346,4.053781512605042,2.349801768831961,2.247241612249493,2.679977100329183,2.201739645701418,8.028541407396493e-11,9.772412084632595e-11
2009,33169.89838424501,4.083588957055214,2.364755425979916,2.2516237671397645,2.674858953551279,2.1626537496380025,7.769173082325774e-11,9.609232261256432e-11
2010,33816.296284989956,4.0303358613217775,2.343928280358598,2.254244861483467,2.6629297458893872,2.1414056079670973,7.863480250385075e-11,9.778575056989337e-11
2011,34436.07134891579,4.0262970859985785,2.319959711264059,2.246161466072313,2.671559060035912,2.133732126163388,7.395439740814532e-11,9.259528785390658e-11
2012,34216.80151691938,4.0541478653245395,2.334963325183374,2.2422549517521584,2.700677560781188,2.1263449717978093,7.273770186752455e-11,9.238438816930347e-11
2013,34231.644064880966,4.024130589070262,2.3363815671507977,2.2345647119607337,2.6919941301157673,2.093322833508322,7.093223158091876e-11,9.121820485367882e-11
2014,34684.6516042164,4.035087719298246,2.312128311407461,2.2474526928675402,2.682233327589178,2.058383651374667,6.596839819053307e-11,8.596193235218924e-11
2015,35411.00887677295,4.0015479876160995,2.332506203473945,2.252025705504331,2.673443456162643,2.052536476516067,6.555706136548979e-11,8.538854179600718e-11
2016,36015.430430603265,3.9780405405405403,2.329824561403509,2.2654821008622945,2.637242538881883,2.0305115343236833,6.473673800830711e-11,8.4080526713592e-11
2017,36864.54008169627,4.019264448336252,2.2938144329896906,2.23644578313253,2.6009265387160823,2.012290082158105,6.412141612284023e-11,8.28782561583231e-11
