years,pop,gdp,coal_emi,oil_emi,gas_emi,fossil_emi,coal_cons,oil_cons,gas_cons,fossil_cons,total_cons
1990,475187711,11825013130270.7,1768,1594,644,4006,446.0,630.6,297.0,1373.6,1568.030836
1991,476842235,12011377159263.9,1688,1622,671,3981,425.4,635.6,306.7,1367.7,1570.842801
1992,477925130,12133766009411.4,1579,1618,649,3846,396.4,630.2,298.0,1324.6,1529.396346
1993,479561788,12106840105195.1,1491,1610,673,3774,372.8,630.0,309.5,1312.3,1536.709848
1994,480893003,12443205781015.7,1463,1601,683,3747,363.2,639.3,309.2,1311.7,1527.437314
1995,481904006,12779853643064.8,1441,1611,732,3784,358.1,655.0,335.7,1348.8,1567.376208
1996,482736385,13031142531328.0,1440,1657,807,3904,354.8,668.4,369.5,1392.7,1626.821358
1997,483512803,13405201947558.0,1368,1643,800,3811,342.1,666.7,361.9,1370.7,1607.102845
1998,485877558,13822186152718.3,1314,1669,822,3805,326.6,682.3,373.4,1382.3,1618.754093
1999,486577954,14240808008354.6,1241,1649,856,3746,307.6,675.1,384.8,1367.5,1609.200232
2000,487259080,14787637652420.8,1274,1608,876,3758,315.5,663.9,396.0,1375.4,1619.412276
2001,488240527,15127891026988.1,1281,1643,903,3827,317.0,678.4,406.3,1401.7,1659.935226
2002,488962706,15323731263697.1,1273,1624,908,3805,315.6,674.6,407.8,1398.0,1657.128136
2003,490691578,15517814921679.9,1326,1638,949,3913,326.1,680.8,424.5,1431.4,1699.189182
2004,492555798,15916432149180.6,1306,1635,972,3913,321.1,684.1,435.2,1440.4,1715.380832
2005,494598322,16253029844638.4,1272,1626,991,3889,312.1,684.2,445.1,1441.4,1721.40195
2006,496436597,16803780650126.5,1299,1611,983,3893,322.9,681.5,440.2,1444.6,1731.602003
2007,498300775,17316119811889.3,1310,1556,969,3835,322.0,660.6,435.0,1417.6,1704.378917
2008,500297033,17405403162181.0,1206,1541,998,3745,297.5,655.8,444.1,1397.4,1700.927722
2009,502090235,16654282074671.7,1065,1460,936,3461,260.8,617.4,415.7,1293.9,1600.348646
2010,503170618,17015366700189.5,1116,1438,1009,3563,276.9,613.5,447.6,1338.0,1663.860404
2011,502964837,17320133012927.8,1133,1382,907,3422,281.4,595.7,403.8,1280.9,1603.762702
2012,504047749,17246901782583.0,1168,1337,883,3388,288.1,572.6,393.8,1254.5,1593.344469
2013,505163053,17292561825024.6,1134,1303,865,3302,281.8,557.7,387.1,1226.6,1577.396447
2014,507235091,17593272412768.0,1058,1283,772,3113,262.2,554.9,343.5,1160.6,1512.351693
2015,508520205,18007213493273.4,1034,1316,806,3156,258.4,564.2,357.9,1180.5,1537.609702
2016,510181874,18374419790001.8,942,1328,867,3137,236.8,570.0,382.7,1189.5,1544.930894
2017,511378572,18851735864414.6,918,1335,891,3144,228.4,582.0,398.4,1208.8,1562.398994
